artifact	compression	snapshot_method	source_path	raw_sha256	compressed_sha256	quick_check
morgott.curated.db.zst	zstd-19	sqlite_backup_api	/workspace/hf_cache/trackio/morgott.db	fa9ac33d25765782ab1e0f1819d6a111eb01007265a1a87cc45e37f3b9b6ef52	d240f4a03652f565c6d5c54bc927eb219477832c24968d63e335aa55c4eadef1	ok
morgott.pre-curation.db.zst	zstd-19	exact_file_copy	/workspace/hf_cache/trackio-archive/20260812T105500Z/morgott.pre-curation.db	08d2aa9df33dbbabbaa340cd1dc779840a6405b354bd1be1fb639edf15d7a11e	cbc3b4176d94b2b7c27067dc9f2b01c3f9d820e35a9e1ac395a964d344f67756	ok
